DeviceID,DateID,BrowserID,OsID,CategoryID,NUM_OF_ACCESS,BROWSER_NAME,CATEGORY_NAME,CalendarQuarter,CalendarYear,DateAltKey,DayName,DayOfMonth,DayOfWeek,MonthName,MonthOfYear,DEVICE_NAME,DEVICE_TYPE,SCREEN_RESOLUTION,OS_NAME
161114,15,2,1,34,1,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,SHV-E170L,General_Mobile,540x960,Android
86859,15,2,1,34,3,Android,Du lịch,1,2014,2014-01-25,Saturday,25,7,January,1,SM-N900,General_Mobile,1080x1920,Android
145315,15,13,1,50,24,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,SAMSUNG SGH-M919,General_Mobile,1080x1920,Android
117498,15,13,1,50,3,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,SAMSUNG GT-N7100,General_Mobile,360x640,Android
143241,15,13,1,50,13,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,SAMSUNG GT-I9190,General_Mobile,540x960,Android
170758,15,13,1,50,1,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,MID7055-3G,General_Mobile,400x655,Android
116652,15,13,1,50,2,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,LT28i,General_Mobile,360x640,Android
127234,15,13,1,50,20,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,LG-F100L,General_Mobile,384x512,Android
144667,15,13,1,50,11,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Lenovo A850,General_Mobile,640x360,Android
116634,15,13,1,50,20,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Lenovo A850,General_Mobile,360x640,Android
169490,15,13,1,50,5,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,JY-G4,General_Mobile,360x640,Android
116061,15,13,1,50,3,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,ISW11SC,General_Mobile,360x640,Android
169395,15,13,1,50,2,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,IM-A870S,General_Mobile,360x616,Android
169346,15,13,1,50,1,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,IM-A850L,General_Mobile,360x612,Android
169208,15,13,1,50,13,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,IM-A850K,General_Mobile,360x592,Android
